condition,agent,block,cumulative_perceived_reward
overactive,23,3,843.3565465634772
overactive,23,4,1043.7484800843945
overactive,23,5,1082.4775269365641
overactive,24,1,1047.1514028624574
overactive,24,2,128.40841036734872
overactive,24,3,826.4044953843326
overactive,24,4,987.1229664921226
overactive,24,5,1022.0965436566783
overactive,25,1,1047.2506353008948
overactive,25,2,116.71548877410001
overactive,25,3,803.6459682511183
overactive,25,4,981.5662080845366
overactive,25,5,986.371833769748
overactive,26,1,1052.0521961916306
overactive,26,2,132.55647817080973
overactive,26,3,824.1933773284967
overactive,26,4,989.1868592436124
overactive,26,5,1006.6255777488453
overactive,27,1,1066.7260315157225
overactive,27,2,187.42497084435325
overactive,27,3,869.288260821528
overactive,27,4,1032.0442627125765
overactive,27,5,1019.2453867901419
overactive,28,1,1068.7499939947813
overactive,28,2,166.49115755663723
overactive,28,3,848.5663561100458
overactive,28,4,1009.347533324958
overactive,28,5,1008.725037131114
overactive,29,1,1061.6671203627297
overactive,29,2,132.6767009549701
overactive,29,3,820.1956710444987
overactive,29,4,975.6024701856459
overactive,29,5,992.3745174581721
overactive,30,1,1058.3180921836947
overactive,30,2,154.5291365353251
overactive,30,3,838.4627490775829
overactive,30,4,1006.8501506030398
overactive,30,5,1054.6869976631342
overactive,31,1,1057.7740224350023
overactive,31,2,117.59307966242079
overactive,31,3,795.9634162137199
overactive,31,4,981.1838944841702
overactive,31,5,1001.0813401378639
overactive,32,1,1067.1463290112529
overactive,32,2,177.72319792633988
overactive,32,3,866.3617079957318
overactive,32,4,1048.7905674701346
overactive,32,5,1063.7183934151499
overactive,33,1,1056.3633431296369
overactive,33,2,133.32513796871405
overactive,33,3,806.685622564102
overactive,33,4,987.1219130361766
overactive,33,5,992.2596009849983
overactive,34,1,1061.7836346150177
overactive,34,2,147.6140709401126
overactive,34,3,835.1768289361775
overactive,34,4,1024.586168274489
overactive,34,5,1072.70978138256
overactive,35,1,1065.4252247839145
overactive,35,2,123.96374033566308
overactive,35,3,816.5475753531034
overactive,35,4,985.0334636123265
overactive,35,5,992.1753961599054
overactive,36,1,1058.6272661268072
overactive,36,2,146.7544851644109
overactive,36,3,815.9776963417049
overactive,36,4,1009.5132565123242
overactive,36,5,1014.7521123661918
overactive,37,1,1082.8378691296646
overactive,37,2,147.5112897167988
overactive,37,3,814.8382817024265
overactive,37,4,991.3680146496303
overactive,37,5,983.9785955600203
overactive,38,1,1060.7998355445402
overactive,38,2,194.26945084862268
overactive,38,3,858.5650166038719
overactive,38,4,1048.3254704282413
overactive,38,5,1059.0589337262484
overactive,39,1,1062.5976978927931
overactive,39,2,174.43670543403493
overactive,39,3,877.8100668584763
overactive,39,4,1061.3024733548325
overactive,39,5,1068.0222287754395
overactive,40,1,1063.0829049794545
overactive,40,2,115.207835441917
overactive,40,3,810.9723637185796
overactive,40,4,993.7976828598123
overactive,40,5,994.1152799378594
overactive,41,1,1051.4985512908602
overactive,41,2,158.44502227445258
overactive,41,3,843.4337610673267
overactive,41,4,1041.749092077457
overactive,41,5,1018.7403047208402
overactive,42,1,1064.945494228004
overactive,42,2,156.81048736776182
overactive,42,3,843.42827707255
overactive,42,4,1058.8266936110338
overactive,42,5,1084.2616235510523
overactive,43,1,1071.0931693111338
overactive,43,2,153.99131972959702
overactive,43,3,854.8055631106829
overactive,43,4,1067.7090101238205
overactive,43,5,1106.5315188440775
overactive,44,1,1064.5949138469152
overactive,44,2,127.53905385769558
overactive,44,3,820.8806450091897
overactive,44,4,976.5937312910476
overactive,44,5,977.4159719226797
overactive,45,1,1075.5824278801156
overactive,45,2,159.0438602777934
overactive,45,3,845.544171282042
overactive,45,4,1040.7822967202487
overactive,45,5,1062.83643398867
overactive,46,1,1055.470203555414
overactive,46,2,143.94083435687307
overactive,46,3,824.8085348434321
overactive,46,4,986.220737977015
overactive,46,5,1009.5598855838143
overactive,47,1,1049.7648629975681
overactive,47,2,152.83192729839783
overactive,47,3,817.9284776745765
overactive,47,4,994.3974513920026
overactive,47,5,1019.0185453057165
overactive,48,1,1073.5741284194241
overactive,48,2,180.11469571799006
overactive,48,3,887.4298117039858
overactive,48,4,1070.4111760651185
overactive,48,5,1046.974202892481
overactive,49,1,1071.4586002496767
overactive,49,2,179.3732878163879
overactive,49,3,897.3805701788193
overactive,49,4,1094.5751639231448
overactive,49,5,1105.6645486307004
overactive,50,1,1047.0890497582363
overactive,50,2,120.47476866562775
overactive,50,3,807.126197016546
overactive,50,4,981.3174537154864
overactive,50,5,1024.908734929681
